sentence	chars	lm-gpt2	lm-gpt2-div-chars	lm-gpt2-div-words	lm-gpt2-large	lm-gpt2-large-div-chars	lm-gpt2-large-div-words	lm-gpt2-medium	lm-gpt2-medium-div-chars	lm-gpt2-medium-div-words	words
"“Sorry” I began, but his face was already back in the beans."	60.0	-107.31365203857422	-1.7885608673095703	-8.942804336547852	-109.58394622802734	-1.8263991038004557	-9.13199551900228	-104.87545776367188	-1.7479242960611978	-8.73962148030599	12.0
"""Sorry"" I began, but his face was already back in the beans."	60.0	-76.11381530761719	-1.2685635884602864	-6.342817942301433	-69.73310089111328	-1.1622183481852213	-5.8110917409261065	-78.11409759521484	-1.301901626586914	-6.50950813293457	12.0
"""Wait"" I said, starting to understand."	38.0	-44.064796447753906	-1.1595999065198397	-7.344132741292317	-44.388343811035156	-1.1681143108167147	-7.398057301839192	-48.18822479248047	-1.268111178749486	-8.031370798746744	6.0
"Tell SIS I want full surveillance."	34.0	-57.47943878173828	-1.6905717288746553	-9.579906463623047	-53.87851333618164	-1.584662156946519	-8.97975222269694	-53.96889877319336	-1.5873205521527458	-8.994816462198893	6.0
"Tell him I want full surveillance."	34.0	-47.608158111572266	-1.4002399444580078	-7.934693018595378	-44.795406341552734	-1.3175119512221392	-7.465901056925456	-43.79588317871094	-1.288114211138557	-7.299313863118489	6.0
"One by one, all the most interesting writers are moving to Substack."	68.0	-80.21016693115234	-1.1795612783992993	-6.684180577596028	-81.49607849121094	-1.198471742517808	-6.791339874267578	-80.57686614990234	-1.184953913969152	-6.714738845825195	12.0
"One by one, all the most interesting writers are moving online."	63.0	-58.184471130371094	-0.9235630338154142	-5.289497375488281	-60.93124008178711	-0.9671625409807477	-5.539203643798828	-58.71830368041992	-0.9320365663558717	-5.338027607310902	11.0
"When you see Lilly, give her that note."	39.0	-51.508575439453125	-1.3207327035757213	-6.438571929931641	-53.47138977050781	-1.371061276166867	-6.683923721313477	-49.41092300415039	-1.266946743696164	-6.176365375518799	8.0
"When you see her, give her that note."	37.0	-43.002716064453125	-1.1622355693095439	-5.375339508056641	-45.14945602416992	-1.2202555682208087	-5.64368200302124	-43.416500091552734	-1.173418921393317	-5.427062511444092	8.0
"Kitty shot her an appalled look, but Ann ignored it and kept her eyes locked on Martimano."	90.0	-120.02487182617188	-1.3336096869574652	-7.0602865780101105	-117.71281433105469	-1.307920159233941	-6.924283195944393	-113.22459411621094	-1.258051045735677	-6.660270242130055	17.0
"I shot her an appalled look, but she ignored it and kept her eyes locked on him."	80.0	-72.89948272705078	-0.9112435340881347	-4.288204866297105	-69.59272003173828	-0.8699090003967285	-4.0936894136316635	-67.80635070800781	-0.8475793838500977	-3.9886088651769303	17.0
"Unable are the loved to die, for love is immortality."	53.0	-78.70328521728516	-1.4849676456091538	-7.870328521728515	-70.55021667480469	-1.33113616367556	-7.055021667480469	-71.81781005859375	-1.355053019973467	-7.181781005859375	10.0
"Our loved ones cannot die, because love is immortality."	55.0	-58.52425003051758	-1.0640772732821377	-6.502694447835286	-48.85032653808594	-0.8881877552379261	-5.427814059787327	-51.50352478027344	-0.9364277232776989	-5.722613864474827	9.0
"Did you go by the village of Kympton?"	37.0	-61.79242706298828	-1.6700655962969806	-7.724053382873535	-61.25436019897461	-1.6555232486209355	-7.656795024871826	-61.8733024597168	-1.6722514178301837	-7.7341628074646	8.0
"Did you go by the village?"	26.0	-41.03919982910156	-1.5784307626577525	-6.839866638183594	-39.62550735473633	-1.5240579751821666	-6.604251225789388	-40.42165756225586	-1.5546791370098407	-6.7369429270426435	6.0
